Domain parsed
Problem parsed
Grounding..
Grounding Time: 72
Aibr Preprocessing
|F|:0
|X|:26
|A|:52
|P|:0
|E|:0
H1 Setup Time (msec): 9
Wrong setting for break-ties. Arbitrary tie breaking
Setting horizon to:NaN
Helpful Action Pruning Activated
Running Greedy Best First Search
JUMP for (move_down agent2):2
JUMP for (move_up_left agent2):3
JUMP for (move_down agent2):2
JUMP for (move_down_right agent2):6
JUMP for (move_up_left agent2):2
JUMP for (move_down_right agent2):3
JUMP for (move_up agent2):5
JUMP for (move_down agent2):5
JUMP for (move_down_left agent1):2
JUMP for (move_up_left agent2):2
JUMP for (move_down_right agent2):3
JUMP for (move_down_left agent1):2
JUMP for (move_down_left agent1):2
JUMP for (move_down_left agent1):2
JUMP for (move_up agent1):2
JUMP for (move_down_left agent1):2
JUMP for (move_down agent2):5
JUMP for (move_down_left agent1):2
JUMP for (move_up_left agent2):2
JUMP for (move_up agent2):4
JUMP for (move_down agent2):2
JUMP for (move_up agent2):3
JUMP for (move_up agent2):4
JUMP for (move_right agent2):5
JUMP for (move_down agent2):2
JUMP for (move_up agent2):3
JUMP for (move_down agent2):3
JUMP for (move_up agent2):3
JUMP for (move_up agent2):2
JUMP for (move_down agent2):3
JUMP for (move_up agent2):2
JUMP for (move_up agent2):3
JUMP for (move_down agent2):3
JUMP for (move_up agent2):3
JUMP for (move_up agent2):2
JUMP for (move_down agent2):3
JUMP for (move_up agent2):3
JUMP for (move_down agent2):2
JUMP for (move_up agent2):2
JUMP for (move_up agent2):3
JUMP for (move_right agent2):3
JUMP for (move_down agent2):2
JUMP for (move_down_right agent2):3
JUMP for (move_down_left agent1):3
JUMP for (move_down_right agent1):3
JUMP for (move_up_left agent2):2
JUMP for (move_down agent2):2
JUMP for (move_down agent2):2
JUMP for (move_down agent2):2
JUMP for (move_down agent2):2
JUMP for (move_down agent2):2
JUMP for (move_down agent2):2
JUMP for (move_down agent2):2
JUMP for (move_up_left agent2):2
JUMP for (move_down agent2):2
JUMP for (move_up agent1):4
JUMP for (move_up_left agent1):3
JUMP for (move_down_right agent1):2
JUMP for (move_down_left agent1):3
JUMP for (move_up_left agent1):4
JUMP for (move_up_left agent2):2
JUMP for (move_down_right agent2):2
JUMP for (move_down_right agent2):2
JUMP for (move_down_right agent2):2
JUMP for (move_up_left agent2):2
JUMP for (move_down_right agent2):2
JUMP for (move_up_left agent2):2
JUMP for (move_down_right agent2):2
JUMP for (move_down_right agent2):2
JUMP for (move_down_right agent2):2
JUMP for (move_up agent2):4
JUMP for (move_up_left agent2):2
JUMP for (move_down agent2):3
JUMP for (move_down_right agent2):2
JUMP for (move_up agent2):4
JUMP for (move_down agent2):3
JUMP for (move_up_left agent2):3
JUMP for (move_down_right agent1):4
JUMP for (move_down_right agent1):2
JUMP for (move_up_right agent2):3
JUMP for (move_up agent1):3
JUMP for (move_up agent1):2
JUMP for (move_down_right agent1):2
JUMP for (move_down_left agent1):2
JUMP for (move_up agent1):3
JUMP for (move_up agent1):2
JUMP for (move_down_right agent1):2
JUMP for (move_down agent1):2
JUMP for (move_up agent1):3
